enrollment,interval,start,end,model
2695,Weekly,12/10/2020,12/16/2020,5-Day In-Person
2695,Biweekly,12/17/2020,1/6/2021,5-Day In-Person
2695,Weekly,1/7/2021,1/13/2021,5-Day In-Person
2695,Weekly,1/14/2021,1/20/2021,5-Day In-Person
2695,Weekly,1/21/2021,1/26/2021,5-Day In-Person
2695,Weekly,1/27/2021,2/3/2021,5-Day In-Person
2695,Weekly,2/4/2021,2/9/2021,5-Day In-Person
2695,Weekly,2/10/2021,2/16/2021,5-Day In-Person
2695,Weekly,2/17/2021,2/22/2021,5-Day In-Person
2695,Weekly,2/23/2021,3/2/2021,5-Day In-Person
2695,Weekly,3/3/2021,3/9/2021,5-Day In-Person
2695,Weekly,3/10/2021,3/16/2021,5-Day In-Person
2695,Weekly,3/17/2021,3/23/2021,5-Day In-Person
2695,Weekly,3/24/2021,3/30/2021,5-Day In-Person
2695,Weekly,3/31/2021,4/6/2021,5-Day In-Person
2695,Weekly,4/7/2021,4/13/2021,5-Day In-Person
2695,Weekly,4/14/2021,4/20/2021,5-Day In-Person
2695,Weekly,4/21/2021,4/27/2021,5-Day In-Person
2695,Weekly,4/28/2021,5/4/2021,5-Day In-Person
2695,Weekly,5/5/2021,5/11/2021,5-Day In-Person
2695,Weekly,5/12/2021,5/18/2021,5-Day In-Person
2695,Weekly,5/19/2021,5/26/2021,5-Day In-Person
6254,Biweekly,8/6/2020,8/19/2020,5-Day In-Person
6254,Weekly,8/20/2020,8/26/2020,5-Day In-Person
6254,Weekly,8/27/2020,9/2/2020,5-Day In-Person
6254,Weekly,9/3/2020,9/9/2020,5-Day In-Person
6254,Weekly,9/10/2020,9/16/2020,5-Day In-Person
6254,Weekly,9/17/2020,9/23/2020,5-Day In-Person
6254,Weekly,9/24/2020,9/30/2020,5-Day In-Person
6254,Weekly,10/1/2020,10/7/2020,5-Day In-Person
6254,Weekly,10/8/2020,10/14/2020,5-Day In-Person
6254,Weekly,10/15/2020,10/21/2020,5-Day In-Person
6254,Weekly,10/22/2020,10/28/2020,5-Day In-Person
6254,Weekly,10/29/2020,11/4/2020,5-Day In-Person
6254,Weekly,11/5/2020,11/11/2020,5-Day In-Person
6254,Weekly,11/12/2020,11/19/2020,Hybrid
6254,Weekly,11/19/2020,11/24/2020,Hybrid
6254,Weekly,11/24/2020,12/2/2020,Hybrid
6254,Weekly,12/3/2020,12/9/2020,5-Day In-Person
6254,Weekly,12/10/2020,12/16/2020,5-Day In-Person
6254,Biweekly,12/17/2020,1/6/2021,5-Day In-Person
6254,Weekly,1/7/2021,1/13/2021,5-Day In-Person
6254,Weekly,1/14/2021,1/20/2021,5-Day In-Person
6254,Weekly,1/21/2021,1/26/2021,Hybrid
6254,Weekly,1/27/2021,2/3/2021,Hybrid
6254,Weekly,2/4/2021,2/9/2021,Hybrid
6254,Weekly,2/10/2021,2/16/2021,Hybrid
6254,Weekly,2/17/2021,2/22/2021,5-Day In-Person
6254,Weekly,2/23/2021,3/2/2021,5-Day In-Person
6254,Weekly,3/3/2021,3/9/2021,5-Day In-Person
6254,Weekly,3/10/2021,3/16/2021,5-Day In-Person
6254,Weekly,3/17/2021,3/23/2021,5-Day In-Person
6254,Weekly,3/24/2021,3/30/2021,5-Day In-Person
6254,Weekly,3/31/2021,4/6/2021,5-Day In-Person
6254,Weekly,4/7/2021,4/13/2021,5-Day In-Person
6254,Weekly,4/14/2021,4/20/2021,5-Day In-Person
6254,Weekly,4/21/2021,4/27/2021,5-Day In-Person
6254,Weekly,4/28/2021,5/4/2021,5-Day In-Person
6254,Weekly,5/5/2021,5/11/2021,5-Day In-Person
6254,Weekly,5/12/2021,5/18/2021,5-Day In-Person
6254,Weekly,5/19/2021,5/26/2021,5-Day In-Person
463,Biweekly,8/6/2020,8/19/2020,5-Day In-Person
463,Weekly,8/20/2020,8/26/2020,5-Day In-Person
463,Weekly,8/27/2020,9/2/2020,5-Day In-Person
463,Weekly,9/3/2020,9/9/2020,5-Day In-Person
463,Weekly,9/10/2020,9/16/2020,5-Day In-Person
463,Weekly,9/17/2020,9/23/2020,5-Day In-Person
463,Weekly,9/24/2020,9/30/2020,5-Day In-Person
463,Weekly,10/1/2020,10/7/2020,5-Day In-Person
463,Weekly,10/8/2020,10/14/2020,5-Day In-Person
463,Weekly,10/15/2020,10/21/2020,5-Day In-Person
463,Weekly,10/22/2020,10/28/2020,5-Day In-Person
463,Weekly,10/29/2020,11/4/2020,5-Day In-Person
463,Weekly,11/5/2020,11/11/2020,5-Day In-Person
463,Weekly,11/12/2020,11/19/2020,5-Day In-Person
463,Weekly,11/19/2020,11/24/2020,5-Day In-Person
463,Weekly,11/24/2020,12/2/2020,5-Day In-Person
463,Weekly,12/3/2020,12/9/2020,5-Day In-Person
463,Weekly,12/10/2020,12/16/2020,5-Day In-Person
463,Biweekly,12/17/2020,1/6/2021,5-Day In-Person
463,Weekly,1/7/2021,1/13/2021,5-Day In-Person
463,Weekly,1/14/2021,1/20/2021,5-Day In-Person
463,Weekly,1/21/2021,1/26/2021,5-Day In-Person
463,Weekly,1/27/2021,2/3/2021,5-Day In-Person
463,Weekly,2/4/2021,2/9/2021,5-Day In-Person
463,Weekly,2/10/2021,2/16/2021,5-Day In-Person
463,Weekly,2/17/2021,2/22/2021,5-Day In-Person
463,Weekly,2/23/2021,3/2/2021,5-Day In-Person
463,Weekly,3/3/2021,3/9/2021,5-Day In-Person
463,Weekly,3/10/2021,3/16/2021,5-Day In-Person
463,Weekly,3/17/2021,3/23/2021,5-Day In-Person
463,Weekly,3/24/2021,3/30/2021,5-Day In-Person
463,Weekly,3/31/2021,4/6/2021,5-Day In-Person
463,Weekly,4/7/2021,4/13/2021,5-Day In-Person
463,Weekly,4/14/2021,4/20/2021,5-Day In-Person
463,Weekly,4/21/2021,4/27/2021,5-Day In-Person
463,Weekly,4/28/2021,5/4/2021,5-Day In-Person
463,Weekly,5/5/2021,5/11/2021,5-Day In-Person
463,Weekly,5/12/2021,5/18/2021,5-Day In-Person
463,Weekly,5/19/2021,5/26/2021,5-Day In-Person
517,Biweekly,8/6/2020,8/19/2020,NA
517,Weekly,8/20/2020,8/26/2020,5-Day In-Person
517,Weekly,8/27/2020,9/2/2020,5-Day In-Person
517,Weekly,9/3/2020,9/9/2020,5-Day In-Person
517,Weekly,9/10/2020,9/16/2020,5-Day In-Person
517,Weekly,9/17/2020,9/23/2020,5-Day In-Person
517,Weekly,9/24/2020,9/30/2020,5-Day In-Person
517,Weekly,10/1/2020,10/7/2020,5-Day In-Person
517,Weekly,10/8/2020,10/14/2020,5-Day In-Person
517,Weekly,10/15/2020,10/21/2020,5-Day In-Person
517,Weekly,10/22/2020,10/28/2020,5-Day In-Person
517,Weekly,10/29/2020,11/4/2020,5-Day In-Person
517,Weekly,11/5/2020,11/11/2020,5-Day In-Person
517,Weekly,11/12/2020,11/19/2020,Hybrid
517,Weekly,11/19/2020,11/24/2020,Hybrid
517,Weekly,11/24/2020,12/2/2020,Hybrid
517,Weekly,12/3/2020,12/9/2020,Hybrid
517,Weekly,12/10/2020,12/16/2020,5-Day In-Person
517,Biweekly,12/17/2020,1/6/2021,5-Day In-Person
517,Weekly,1/7/2021,1/13/2021,5-Day In-Person
517,Weekly,1/14/2021,1/20/2021,5-Day In-Person
517,Weekly,1/21/2021,1/26/2021,5-Day In-Person
517,Weekly,1/27/2021,2/3/2021,5-Day In-Person
517,Weekly,2/4/2021,2/9/2021,5-Day In-Person
517,Weekly,2/10/2021,2/16/2021,5-Day In-Person
517,Weekly,2/17/2021,2/22/2021,5-Day In-Person
517,Weekly,2/23/2021,3/2/2021,5-Day In-Person
517,Weekly,3/3/2021,3/9/2021,5-Day In-Person
517,Weekly,3/10/2021,3/16/2021,5-Day In-Person
517,Weekly,3/17/2021,3/23/2021,5-Day In-Person
517,Weekly,3/24/2021,3/30/2021,5-Day In-Person
517,Weekly,3/31/2021,4/6/2021,5-Day In-Person
517,Weekly,4/7/2021,4/13/2021,5-Day In-Person
517,Weekly,4/14/2021,4/20/2021,5-Day In-Person
517,Weekly,4/21/2021,4/27/2021,5-Day In-Person
517,Weekly,4/28/2021,5/4/2021,5-Day In-Person
517,Weekly,5/5/2021,5/11/2021,5-Day In-Person
517,Weekly,5/12/2021,5/18/2021,5-Day In-Person
517,Weekly,5/19/2021,5/26/2021,5-Day In-Person
1298,Biweekly,8/6/2020,8/19/2020,5-Day In-Person
1298,Weekly,8/20/2020,8/26/2020,5-Day In-Person
1298,Weekly,8/27/2020,9/2/2020,5-Day In-Person
1298,Weekly,9/3/2020,9/9/2020,5-Day In-Person
1298,Weekly,9/10/2020,9/16/2020,5-Day In-Person
1298,Weekly,9/17/2020,9/23/2020,5-Day In-Person
1298,Weekly,9/24/2020,9/30/2020,5-Day In-Person
1298,Weekly,10/1/2020,10/7/2020,5-Day In-Person
1298,Weekly,10/8/2020,10/14/2020,5-Day In-Person
1298,Weekly,10/15/2020,10/21/2020,5-Day In-Person
1298,Weekly,10/22/2020,10/28/2020,5-Day In-Person
1298,Weekly,10/29/2020,11/4/2020,5-Day In-Person
1298,Weekly,11/5/2020,11/11/2020,5-Day In-Person
1298,Weekly,11/12/2020,11/19/2020,5-Day In-Person
1298,Weekly,11/19/2020,11/24/2020,5-Day In-Person
1298,Weekly,11/24/2020,12/2/2020,5-Day In-Person
1298,Weekly,12/3/2020,12/9/2020,5-Day In-Person
1298,Weekly,12/10/2020,12/16/2020,Hybrid
1298,Biweekly,12/17/2020,1/6/2021,Hybrid
1298,Weekly,1/7/2021,1/13/2021,Fully Remote
1298,Weekly,1/14/2021,1/20/2021,5-Day In-Person
1298,Weekly,1/21/2021,1/26/2021,5-Day In-Person
1298,Weekly,1/27/2021,2/3/2021,5-Day In-Person
1298,Weekly,2/4/2021,2/9/2021,5-Day In-Person
1298,Weekly,2/10/2021,2/16/2021,5-Day In-Person
1298,Weekly,2/17/2021,2/22/2021,5-Day In-Person
1298,Weekly,2/23/2021,3/2/2021,5-Day In-Person
1298,Weekly,3/3/2021,3/9/2021,5-Day In-Person
1298,Weekly,3/10/2021,3/16/2021,5-Day In-Person
1298,Weekly,3/17/2021,3/23/2021,5-Day In-Person
1298,Weekly,3/24/2021,3/30/2021,5-Day In-Person
1298,Weekly,3/31/2021,4/6/2021,5-Day In-Person
1298,Weekly,4/7/2021,4/13/2021,5-Day In-Person
1298,Weekly,4/14/2021,4/20/2021,5-Day In-Person
1298,Weekly,4/21/2021,4/27/2021,5-Day In-Person
1298,Weekly,4/28/2021,5/4/2021,5-Day In-Person
1298,Weekly,5/5/2021,5/11/2021,5-Day In-Person
1298,Weekly,5/12/2021,5/18/2021,5-Day In-Person
1298,Weekly,5/19/2021,5/26/2021,5-Day In-Person
1757,Biweekly,8/6/2020,8/19/2020,5-Day In-Person
1757,Weekly,8/20/2020,8/26/2020,5-Day In-Person
1757,Weekly,8/27/2020,9/2/2020,5-Day In-Person
1757,Weekly,9/3/2020,9/9/2020,5-Day In-Person
1757,Weekly,9/10/2020,9/16/2020,5-Day In-Person
1757,Weekly,9/17/2020,9/23/2020,5-Day In-Person
1757,Weekly,9/24/2020,9/30/2020,5-Day In-Person
1757,Weekly,10/1/2020,10/7/2020,5-Day In-Person
1757,Weekly,10/8/2020,10/14/2020,5-Day In-Person
1757,Weekly,10/15/2020,10/21/2020,5-Day In-Person
1757,Weekly,10/22/2020,10/28/2020,5-Day In-Person
1757,Weekly,10/29/2020,11/4/2020,5-Day In-Person
1757,Weekly,11/5/2020,11/11/2020,5-Day In-Person
1757,Weekly,11/12/2020,11/19/2020,5-Day In-Person
1757,Weekly,11/19/2020,11/24/2020,5-Day In-Person
1757,Weekly,11/24/2020,12/2/2020,5-Day In-Person
1757,Weekly,12/3/2020,12/9/2020,5-Day In-Person
1757,Weekly,12/10/2020,12/16/2020,5-Day In-Person
1757,Biweekly,12/17/2020,1/6/2021,5-Day In-Person
1757,Weekly,1/7/2021,1/13/2021,5-Day In-Person
1757,Weekly,1/14/2021,1/20/2021,5-Day In-Person
1757,Weekly,1/21/2021,1/26/2021,5-Day In-Person
1757,Weekly,1/27/2021,2/3/2021,5-Day In-Person
1757,Weekly,2/4/2021,2/9/2021,5-Day In-Person
1757,Weekly,2/10/2021,2/16/2021,5-Day In-Person
1757,Weekly,2/17/2021,2/22/2021,5-Day In-Person
1757,Weekly,2/23/2021,3/2/2021,5-Day In-Person
1757,Weekly,3/3/2021,3/9/2021,5-Day In-Person
1757,Weekly,3/10/2021,3/16/2021,5-Day In-Person
1757,Weekly,3/17/2021,3/23/2021,5-Day In-Person
1757,Weekly,3/24/2021,3/30/2021,5-Day In-Person
1757,Weekly,3/31/2021,4/6/2021,5-Day In-Person
1757,Weekly,4/7/2021,4/13/2021,5-Day In-Person
1757,Weekly,4/14/2021,4/20/2021,5-Day In-Person
1757,Weekly,4/21/2021,4/27/2021,5-Day In-Person
1757,Weekly,4/28/2021,5/4/2021,5-Day In-Person
1757,Weekly,5/5/2021,5/11/2021,5-Day In-Person
1757,Weekly,5/12/2021,5/18/2021,5-Day In-Person
1757,Weekly,5/19/2021,5/26/2021,5-Day In-Person
1187,Biweekly,8/6/2020,8/19/2020,Hybrid
1187,Weekly,8/20/2020,8/26/2020,Hybrid
1187,Weekly,8/27/2020,9/2/2020,Hybrid
1187,Weekly,9/3/2020,9/9/2020,Hybrid
1187,Weekly,9/10/2020,9/16/2020,Hybrid
1187,Weekly,9/17/2020,9/23/2020,Hybrid
1187,Weekly,9/24/2020,9/30/2020,Hybrid
1187,Weekly,10/1/2020,10/7/2020,Hybrid
1187,Weekly,10/8/2020,10/14/2020,Hybrid
1187,Weekly,10/15/2020,10/21/2020,Hybrid
1187,Weekly,10/22/2020,10/28/2020,Hybrid
1187,Weekly,10/29/2020,11/4/2020,Hybrid
1187,Weekly,11/5/2020,11/11/2020,Hybrid
1187,Weekly,11/12/2020,11/19/2020,Hybrid
1187,Weekly,11/19/2020,11/24/2020,Hybrid
1187,Weekly,11/24/2020,12/2/2020,Hybrid
1187,Weekly,12/3/2020,12/9/2020,Fully Remote
1187,Weekly,12/10/2020,12/16/2020,Fully Remote
1187,Biweekly,12/17/2020,1/6/2021,Fully Remote
1187,Weekly,1/7/2021,1/13/2021,Fully Remote
1187,Weekly,1/14/2021,1/20/2021,Fully Remote
1187,Weekly,1/21/2021,1/26/2021,Hybrid
1187,Weekly,1/27/2021,2/3/2021,Hybrid
1187,Weekly,2/4/2021,2/9/2021,Hybrid
1187,Weekly,2/10/2021,2/16/2021,Hybrid
1187,Weekly,2/17/2021,2/22/2021,Full Acccess to Hybrid
1187,Weekly,2/23/2021,3/2/2021,Full Access to Hybrid
1187,Weekly,3/3/2021,3/9/2021,Full Access to Hybrid
1187,Weekly,3/10/2021,3/16/2021,Full Access to Hybrid
1187,Weekly,3/17/2021,3/23/2021,Full Access to Hybrid
1187,Weekly,3/24/2021,3/30/2021,Full Access to Hybrid
1187,Weekly,3/31/2021,4/6/2021,Full Access to Hybrid
1187,Weekly,4/7/2021,4/13/2021,Full Access to Hybrid
1187,Weekly,4/14/2021,4/20/2021,Full Access to Hybrid
1187,Weekly,4/21/2021,4/27/2021,Full Access to Hybrid
1187,Weekly,4/28/2021,5/4/2021,Full Access to Hybrid
1187,Weekly,5/5/2021,5/11/2021,Full Access to Hybrid
1187,Weekly,5/12/2021,5/18/2021,Full Access to Hybrid
1187,Weekly,5/19/2021,5/26/2021,Full Access to Hybrid
830,Biweekly,8/6/2020,8/19/2020,5-Day In-Person
830,Weekly,8/20/2020,8/26/2020,5-Day In-Person
830,Weekly,8/27/2020,9/2/2020,5-Day In-Person
830,Weekly,9/3/2020,9/9/2020,5-Day In-Person
830,Weekly,9/10/2020,9/16/2020,5-Day In-Person
830,Weekly,9/17/2020,9/23/2020,5-Day In-Person
830,Weekly,9/24/2020,9/30/2020,5-Day In-Person
830,Weekly,10/1/2020,10/7/2020,5-Day In-Person
830,Weekly,10/8/2020,10/14/2020,5-Day In-Person
830,Weekly,10/15/2020,10/21/2020,5-Day In-Person
830,Weekly,10/22/2020,10/28/2020,5-Day In-Person
830,Weekly,10/29/2020,11/4/2020,5-Day In-Person
830,Weekly,11/5/2020,11/11/2020,5-Day In-Person
830,Weekly,11/12/2020,11/19/2020,5-Day In-Person
830,Weekly,11/19/2020,11/24/2020,5-Day In-Person
830,Weekly,11/24/2020,12/2/2020,5-Day In-Person
830,Weekly,12/3/2020,12/9/2020,5-Day In-Person
830,Weekly,12/10/2020,12/16/2020,5-Day In-Person
830,Biweekly,12/17/2020,1/6/2021,5-Day In-Person
830,Weekly,1/7/2021,1/13/2021,5-Day In-Person
830,Weekly,1/14/2021,1/20/2021,5-Day In-Person
830,Weekly,1/21/2021,1/26/2021,5-Day In-Person
830,Weekly,1/27/2021,2/3/2021,5-Day In-Person
830,Weekly,2/4/2021,2/9/2021,5-Day In-Person
830,Weekly,2/10/2021,2/16/2021,5-Day In-Person
830,Weekly,2/17/2021,2/22/2021,5-Day In-Person
830,Weekly,2/23/2021,3/2/2021,5-Day In-Person
830,Weekly,3/3/2021,3/9/2021,5-Day In-Person
830,Weekly,3/10/2021,3/16/2021,5-Day In-Person
830,Weekly,3/17/2021,3/23/2021,5-Day In-Person
830,Weekly,3/24/2021,3/30/2021,5-Day In-Person
830,Weekly,3/31/2021,4/6/2021,5-Day In-Person
830,Weekly,4/7/2021,4/13/2021,5-Day In-Person
830,Weekly,4/14/2021,4/20/2021,5-Day In-Person
830,Weekly,4/21/2021,4/27/2021,5-Day In-Person
830,Weekly,4/28/2021,5/4/2021,5-Day In-Person
830,Weekly,5/5/2021,5/11/2021,5-Day In-Person
830,Weekly,5/12/2021,5/18/2021,5-Day In-Person
830,Weekly,5/19/2021,5/26/2021,5-Day In-Person
620,Biweekly,8/6/2020,8/19/2020,5-Day In-Person
620,Weekly,8/20/2020,8/26/2020,5-Day In-Person
620,Weekly,8/27/2020,9/2/2020,5-Day In-Person
620,Weekly,9/3/2020,9/9/2020,5-Day In-Person
620,Weekly,9/10/2020,9/16/2020,5-Day In-Person
620,Weekly,9/17/2020,9/23/2020,5-Day In-Person
620,Weekly,9/24/2020,9/30/2020,5-Day In-Person
620,Weekly,10/1/2020,10/7/2020,5-Day In-Person
620,Weekly,10/8/2020,10/14/2020,5-Day In-Person
620,Weekly,10/15/2020,10/21/2020,5-Day In-Person
620,Weekly,10/22/2020,10/28/2020,5-Day In-Person
620,Weekly,10/29/2020,11/4/2020,5-Day In-Person
620,Weekly,11/5/2020,11/11/2020,5-Day In-Person
620,Weekly,11/12/2020,11/19/2020,5-Day In-Person
620,Weekly,11/19/2020,11/24/2020,5-Day In-Person
620,Weekly,11/24/2020,12/2/2020,5-Day In-Person
620,Weekly,12/3/2020,12/9/2020,5-Day In-Person
620,Weekly,12/10/2020,12/16/2020,5-Day In-Person
620,Biweekly,12/17/2020,1/6/2021,5-Day In-Person
620,Weekly,1/7/2021,1/13/2021,Fully Remote
620,Weekly,1/14/2021,1/20/2021,Fully Remote
620,Weekly,1/21/2021,1/26/2021,Fully Remote
620,Weekly,1/27/2021,2/3/2021,Fully Remote
620,Weekly,2/4/2021,2/9/2021,5-Day In-Person
620,Weekly,2/10/2021,2/16/2021,5-Day In-Person
620,Weekly,2/17/2021,2/22/2021,5-Day In-Person
620,Weekly,2/23/2021,3/2/2021,5-Day In-Person
620,Weekly,3/3/2021,3/9/2021,5-Day In-Person
620,Weekly,3/10/2021,3/16/2021,5-Day In-Person
620,Weekly,3/17/2021,3/23/2021,5-Day In-Person
620,Weekly,3/24/2021,3/30/2021,5-Day In-Person
620,Weekly,3/31/2021,4/6/2021,5-Day In-Person
620,Weekly,4/7/2021,4/13/2021,5-Day In-Person
620,Weekly,4/14/2021,4/20/2021,5-Day In-Person
620,Weekly,4/21/2021,4/27/2021,5-Day In-Person
620,Weekly,4/28/2021,5/4/2021,5-Day In-Person
620,Weekly,5/5/2021,5/11/2021,5-Day In-Person
620,Weekly,5/12/2021,5/18/2021,5-Day In-Person
620,Weekly,5/19/2021,5/26/2021,5-Day In-Person
800,Biweekly,8/6/2020,8/19/2020,5-Day In-Person
800,Weekly,8/20/2020,8/26/2020,Hybrid
800,Weekly,8/27/2020,9/2/2020,Hybrid
800,Weekly,9/3/2020,9/9/2020,Hybrid
800,Weekly,9/10/2020,9/16/2020,Hybrid
800,Weekly,9/17/2020,9/23/2020,Hybrid
800,Weekly,9/24/2020,9/30/2020,Hybrid
800,Weekly,10/1/2020,10/7/2020,Hybrid
800,Weekly,10/8/2020,10/14/2020,Hybrid
800,Weekly,10/15/2020,10/21/2020,Hybrid
800,Weekly,10/22/2020,10/28/2020,Hybrid
800,Weekly,10/29/2020,11/4/2020,Hybrid
800,Weekly,11/5/2020,11/11/2020,Hybrid
800,Weekly,11/12/2020,11/19/2020,Hybrid
800,Weekly,11/19/2020,11/24/2020,Hybrid
800,Weekly,11/24/2020,12/2/2020,Hybrid
800,Weekly,12/3/2020,12/9/2020,Hybrid
800,Weekly,12/10/2020,12/16/2020,5-Day In-Person
800,Biweekly,12/17/2020,1/6/2021,5-Day In-Person
800,Weekly,1/7/2021,1/13/2021,5-Day In-Person
800,Weekly,1/14/2021,1/20/2021,5-Day In-Person
800,Weekly,1/21/2021,1/26/2021,5-Day In-Person
800,Weekly,1/27/2021,2/3/2021,5-Day In-Person
800,Weekly,2/4/2021,2/9/2021,5-Day In-Person
800,Weekly,2/10/2021,2/16/2021,5-Day In-Person
800,Weekly,2/17/2021,2/22/2021,5-Day In-Person
800,Weekly,2/23/2021,3/2/2021,5-Day In-Person
800,Weekly,3/3/2021,3/9/2021,5-Day In-Person
800,Weekly,3/10/2021,3/16/2021,5-Day In-Person
800,Weekly,3/17/2021,3/23/2021,5-Day In-Person
800,Weekly,3/24/2021,3/30/2021,5-Day In-Person
800,Weekly,3/31/2021,4/6/2021,5-Day In-Person
800,Weekly,4/7/2021,4/13/2021,5-Day In-Person
800,Weekly,4/14/2021,4/20/2021,5-Day In-Person
800,Weekly,4/21/2021,4/27/2021,5-Day In-Person
800,Weekly,4/28/2021,5/4/2021,5-Day In-Person
800,Weekly,5/5/2021,5/11/2021,5-Day In-Person
800,Weekly,5/12/2021,5/18/2021,5-Day In-Person
800,Weekly,5/19/2021,5/26/2021,5-Day In-Person
820,Biweekly,8/6/2020,8/19/2020,5-Day In-Person
820,Weekly,8/20/2020,8/26/2020,5-Day In-Person
820,Weekly,8/27/2020,9/2/2020,5-Day In-Person
820,Weekly,9/3/2020,9/9/2020,5-Day In-Person
820,Weekly,9/10/2020,9/16/2020,5-Day In-Person
820,Weekly,9/17/2020,9/23/2020,5-Day In-Person
820,Weekly,9/24/2020,9/30/2020,5-Day In-Person
820,Weekly,10/1/2020,10/7/2020,5-Day In-Person
820,Weekly,10/8/2020,10/14/2020,5-Day In-Person
820,Weekly,10/15/2020,10/21/2020,5-Day In-Person
820,Weekly,10/22/2020,10/28/2020,5-Day In-Person
820,Weekly,10/29/2020,11/4/2020,5-Day In-Person
820,Weekly,11/5/2020,11/11/2020,Hybrid
820,Weekly,11/12/2020,11/19/2020,Hybrid
820,Weekly,11/19/2020,11/24/2020,5-Day In-Person
820,Weekly,11/24/2020,12/2/2020,5-Day In-Person
820,Weekly,12/3/2020,12/9/2020,5-Day In-Person
820,Weekly,12/10/2020,12/16/2020,5-Day In-Person
820,Biweekly,12/17/2020,1/6/2021,Fully Remote
820,Weekly,1/7/2021,1/13/2021,Fully Remote
820,Weekly,1/14/2021,1/20/2021,5-Day In-Person
820,Weekly,1/21/2021,1/26/2021,5-Day In-Person
820,Weekly,1/27/2021,2/3/2021,5-Day In-Person
820,Weekly,2/4/2021,2/9/2021,5-Day In-Person
820,Weekly,2/10/2021,2/16/2021,5-Day In-Person
820,Weekly,2/17/2021,2/22/2021,5-Day In-Person
820,Weekly,2/23/2021,3/2/2021,5-Day In-Person
820,Weekly,3/3/2021,3/9/2021,5-Day In-Person
820,Weekly,3/10/2021,3/16/2021,5-Day In-Person
820,Weekly,3/17/2021,3/23/2021,5-Day In-Person
820,Weekly,3/24/2021,3/30/2021,5-Day In-Person
820,Weekly,3/31/2021,4/6/2021,5-Day In-Person
820,Weekly,4/7/2021,4/13/2021,5-Day In-Person
820,Weekly,4/14/2021,4/20/2021,5-Day In-Person
820,Weekly,4/21/2021,4/27/2021,5-Day In-Person
820,Weekly,4/28/2021,5/4/2021,5-Day In-Person
820,Weekly,5/5/2021,5/11/2021,5-Day In-Person
820,Weekly,5/12/2021,5/18/2021,5-Day In-Person
820,Weekly,5/19/2021,5/26/2021,5-Day In-Person
2685,Biweekly,8/6/2020,8/19/2020,Hybrid
2685,Weekly,8/20/2020,8/26/2020,Hybrid
2685,Weekly,8/27/2020,9/2/2020,Hybrid
2685,Weekly,9/3/2020,9/9/2020,Hybrid
2685,Weekly,9/10/2020,9/16/2020,Hybrid
2685,Weekly,9/17/2020,9/23/2020,Hybrid
2685,Weekly,9/24/2020,9/30/2020,Hybrid
2685,Weekly,10/1/2020,10/7/2020,Hybrid
2685,Weekly,10/8/2020,10/14/2020,Hybrid
2685,Weekly,10/15/2020,10/21/2020,Hybrid
2685,Weekly,10/22/2020,10/28/2020,5-Day In-Person
2685,Weekly,10/29/2020,11/4/2020,5-Day In-Person
2685,Weekly,11/5/2020,11/11/2020,5-Day In-Person
2685,Weekly,11/12/2020,11/19/2020,5-Day In-Person
2685,Weekly,11/19/2020,11/24/2020,5-Day In-Person
2685,Weekly,11/24/2020,12/2/2020,5-Day In-Person
2685,Weekly,12/3/2020,12/9/2020,5-Day In-Person
2685,Weekly,12/10/2020,12/16/2020,5-Day In-Person
2685,Biweekly,12/17/2020,1/6/2021,5-Day In-Person
2685,Weekly,1/7/2021,1/13/2021,5-Day In-Person
2685,Weekly,1/14/2021,1/20/2021,5-Day In-Person
2685,Weekly,1/21/2021,1/26/2021,5-Day In-Person
2685,Weekly,1/27/2021,2/3/2021,5-Day In-Person
2685,Weekly,2/4/2021,2/9/2021,5-Day In-Person
2685,Weekly,2/10/2021,2/16/2021,5-Day In-Person
2685,Weekly,2/17/2021,2/22/2021,5-Day In-Person
2685,Weekly,2/23/2021,3/2/2021,5-Day In-Person
2685,Weekly,3/3/2021,3/9/2021,5-Day In-Person
2685,Weekly,3/10/2021,3/16/2021,5-Day In-Person
2685,Weekly,3/17/2021,3/23/2021,5-Day In-Person
2685,Weekly,3/24/2021,3/30/2021,5-Day In-Person
2685,Weekly,3/31/2021,4/6/2021,5-Day In-Person
2685,Weekly,4/7/2021,4/13/2021,5-Day In-Person
2685,Weekly,4/14/2021,4/20/2021,5-Day In-Person
2685,Weekly,4/21/2021,4/27/2021,5-Day In-Person
2685,Weekly,4/28/2021,5/4/2021,5-Day In-Person
2685,Weekly,5/5/2021,5/11/2021,5-Day In-Person
2685,Weekly,5/12/2021,5/18/2021,5-Day In-Person
2685,Weekly,5/19/2021,5/26/2021,5-Day In-Person
529,Biweekly,8/6/2020,8/19/2020,5-Day In-Person
529,Weekly,8/20/2020,8/26/2020,5-Day In-Person
529,Weekly,8/27/2020,9/2/2020,5-Day In-Person
529,Weekly,9/3/2020,9/9/2020,5-Day In-Person
529,Weekly,9/10/2020,9/16/2020,5-Day In-Person
529,Weekly,9/17/2020,9/23/2020,5-Day In-Person
529,Weekly,9/24/2020,9/30/2020,5-Day In-Person
529,Weekly,10/1/2020,10/7/2020,5-Day In-Person
529,Weekly,10/8/2020,10/14/2020,5-Day In-Person
529,Weekly,10/15/2020,10/21/2020,5-Day In-Person
529,Weekly,10/22/2020,10/28/2020,5-Day In-Person
529,Weekly,10/29/2020,11/4/2020,5-Day In-Person
529,Weekly,11/5/2020,11/11/2020,5-Day In-Person
